subid,municipality,area_fraction
1001,lappeenranta,1.000000
1002,lappeenranta,1.000000
1003,lappeenranta,1.000000
1004,lappeenranta,1.000000
1005,lappeenranta,1.000000
1006,lappeenranta,1.000000
1007,lappeenranta,1.000000
1008,lappeenranta,1.000000
1009,lappeenranta,1.000000
1010,lappeenranta,1.000000
1011,lappeenranta,1.000000
1012,lappeenranta,1.000000
1013,lappeenranta,1.000000
1014,lappeenranta,1.000000
1015,lappeenranta,1.000000
1016,lappeenranta,1.000000
1017,lappeenranta,1.000000
1018,lappeenranta,1.000000
1019,lappeenranta,1.000000
